run_dir,timing_mode,input_location,prebuild_inputs,cpu_input_dtype,mcs_index,mcs_qm,mcs_code_rate_x1024,mother_code_rate,rate_matching_enabled,snr_index,snr_db,noise_sigma,num_codeblocks,llr_len,msg_bits_per_cb,msg_bytes_per_cb,base_graph,zc,n_rows,aerial_input_len,aerial_prepend_punctured_llrs,group_cbs,grouping_mode,decoder_api,explicit_method_name,num_groups,first_group_tb_size,first_group_rate_match_len,code_rate,rv,num_iterations,llr_sign,llr_scale,throughput_mode,warmup_repeats,measured_repeats,total_elapsed_ms,mean_pass_ms,std_pass_ms,min_pass_ms,max_pass_ms,mean_us_per_codeblock,std_us_per_codeblock,min_us_per_codeblock,max_us_per_codeblock,mean_host_call_us_per_codeblock,std_host_call_us_per_codeblock,min_host_call_us_per_codeblock,max_host_call_us_per_codeblock,codeblocks_per_second,information_mbps,aerial_bit_errors,aerial_total_bits,aerial_ber,aerial_block_errors,aerial_total_blocks,aerial_bler
/opt/nvidia/cuBB/pyaerial/notebooks/ldpc_final_tesc/mcs_09/snr_04,gpu_decode_only,gpu,True,float32,9,2,679,0.6630859375,False,4,24,0.0630957344480193,1024,2376,1584,198,1,72,13,2520,144,1,explicit_codeblocks,explicit,decode_codeblocks_explicit,1024,0,2376,0.0,0,5,1.0,1.0,True,50,1000,53663.56268807067,53.66356268807067,4.921113770142982,48.134433000086574,70.49562799875275,52.40582293756901,4.805775166155256,47.006282226647045,68.84338671753198,52.38701225678355,4.806464705647979,46.9858291012315,68.81729589736096,19081.8489997056,30.225648815533667,0,1622016,0.0,0,1024,0.0
/opt/nvidia/cuBB/pyaerial/notebooks/ldpc_final_tesc/mcs_09/snr_04,gpu_plus_bus,cpu,True,float32,9,2,679,0.6630859375,False,4,24,0.0630957344480193,1024,2376,1584,198,1,72,13,2520,144,1,explicit_codeblocks,explicit,decode_codeblocks_explicit,1024,0,2376,0.0,0,5,1.0,1.0,True,50,1000,106873.81141397418,106.87381141397418,4.1113278581548025,101.39139300008537,129.2165320010099,104.36895645895916,4.014968611479299,99.01503222664587,126.18801953223624,104.36081737686109,4.0127469834806275,99.0086835912507,126.17288183491837,9581.39310699373,15.176926681478069,,1622016,,,1024,
/opt/nvidia/cuBB/pyaerial/notebooks/ldpc_final_tesc/mcs_09/snr_05,gpu_decode_only,gpu,True,float32,9,2,679,0.6630859375,False,5,30,0.0316227766016838,1024,2376,1584,198,1,72,13,2520,144,1,explicit_codeblocks,explicit,decode_codeblocks_explicit,1024,0,2376,0.0,0,5,1.0,1.0,True,50,1000,54046.838859983836,54.046838859983836,5.37268006644411,48.16729599770042,81.63292699828162,52.780116074202965,5.246757877386826,47.03837499775432,79.7196552717594,52.761261006857296,5.247228013133142,47.018462890235924,79.69751855441132,18946.52900334875,30.01130194130442,0,1622016,0.0,0,1024,0.0
/opt/nvidia/cuBB/pyaerial/notebooks/ldpc_final_tesc/mcs_09/snr_05,gpu_plus_bus,cpu,True,float32,9,2,679,0.6630859375,False,5,30,0.0316227766016838,1024,2376,1584,198,1,72,13,2520,144,1,explicit_codeblocks,explicit,decode_codeblocks_explicit,1024,0,2376,0.0,0,5,1.0,1.0,True,50,1000,107180.16738595543,107.18016738595543,4.610688951416027,101.5671659988584,126.59187199824373,104.6681322128471,4.502625929117214,99.18668554576016,123.6248749982849,104.65980426174681,4.500310952917644,99.18039648582067,123.6096894530192,9554.00635187086,15.13354606136344,,1622016,,,1024,
/opt/nvidia/cuBB/pyaerial/notebooks/ldpc_final_tesc/mcs_11/snr_00,gpu_decode_only,gpu,True,float32,11,4,378,0.369140625,False,0,0,1,1024,4800,1760,220,1,80,40,4960,160,1,explicit_codeblocks,explicit,decode_codeblocks_explicit,1024,0,4800,0.0,0,5,1.0,1.0,True,50,1000,57528.14373296496,57.52814373296496,5.832604609885162,54.84714699923643,96.41933500097366,56.1798278642236,5.695902939340979,53.561666991441825,94.15950683688834,53.478488083051445,6.971786625481581,46.83066406130365,94.1383261725548,17799.98333951499,31.327970677546382,721179,1802240,0.40015702681107956,1024,1024,1.0
/opt/nvidia/cuBB/pyaerial/notebooks/ldpc_final_tesc/mcs_11/snr_00,gpu_plus_bus,cpu,True,float32,11,4,378,0.369140625,False,0,0,1,1024,4800,1760,220,1,80,40,4960,160,1,explicit_codeblocks,explicit,decode_codeblocks_explicit,1024,0,4800,0.0,0,5,1.0,1.0,True,50,1000,126067.3144391003,126.0673144391003,4.065364516883121,121.31707400112646,142.05701999890152,123.11261175693389,3.9700825360186736,118.47370507922506,138.72755859267727,123.10347891408213,3.9676122466651647,118.46657714897901,138.71198046899735,8122.644672459225,14.295854623528237,,1802240,,,1024,
/opt/nvidia/cuBB/pyaerial/notebooks/ldpc_final_tesc/mcs_11/snr_01,gpu_decode_only,gpu,True,float32,11,4,378,0.369140625,False,1,6,0.501187233627272,1024,4800,1760,220,1,80,40,4960,160,1,explicit_codeblocks,explicit,decode_codeblocks_explicit,1024,0,4800,0.0,0,5,1.0,1.0,True,50,1000,56920.0037949995,56.9200037949995,3.9014660926618348,54.85873100042227,79.73952700194786,55.5859412060542,3.810025481115073,53.57297949259987,77.87063183783971,52.687582597609854,5.209900878616203,47.12009765839298,77.84361816121077,17990.160430909174,31.662682358400144,517219,1802240,0.28698674982244315,1024,1024,1.0
/opt/nvidia/cuBB/pyaerial/notebooks/ldpc_final_tesc/mcs_11/snr_01,gpu_plus_bus,cpu,True,float32,11,4,378,0.369140625,False,1,6,0.501187233627272,1024,4800,1760,220,1,80,40,4960,160,1,explicit_codeblocks,explicit,decode_codeblocks_explicit,1024,0,4800,0.0,0,5,1.0,1.0,True,50,1000,124900.00503705596,124.90000503705596,9.243212257763393,118.66583099981654,193.8743130012881,121.97266116899996,9.026574470472061,115.88460058575834,189.3303837903204,121.96326429300797,9.024138730228136,115.87800781498458,189.31013574530198,8198.558516440367,14.429462988935049,,1802240,,,1024,
/opt/nvidia/cuBB/pyaerial/notebooks/ldpc_final_tesc/mcs_11/snr_02,gpu_decode_only,gpu,True,float32,11,4,378,0.369140625,False,2,12,0.251188643150958,1024,4800,1760,220,1,80,40,4960,160,1,explicit_codeblocks,explicit,decode_codeblocks_explicit,1024,0,4800,0.0,0,5,1.0,1.0,True,50,1000,57366.044360962405,57.366044360962405,4.512070285051384,54.910173999815015,80.52993199817138,56.02152769625235,4.406318637745493,53.62321679669435,78.64251171696424,53.004206450225404,5.78128693759085,47.44775683462876,78.61737793035672,17850.28079601793,31.41649420099156,0,1802240,0.0,0,1024,0.0
/opt/nvidia/cuBB/pyaerial/notebooks/ldpc_final_tesc/mcs_11/snr_02,gpu_plus_bus,cpu,True,float32,11,4,378,0.369140625,False,2,12,0.251188643150958,1024,4800,1760,220,1,80,40,4960,160,1,explicit_codeblocks,explicit,decode_codeblocks_explicit,1024,0,4800,0.0,0,5,1.0,1.0,True,50,1000,124552.01276995285,124.55201276995285,5.112498517424515,118.7962529984361,144.0321110021614,121.63282497065708,4.992674333422378,116.01196581878526,140.65635840054824,121.6233631142387,4.990221279184144,116.00547753687351,140.64180273365423,8221.464890264957,14.469778206866327,,1802240,,,1024,
